iter	RMSE
0	11.11794733
1	11.04984456
2	10.98315511
3	10.91757162
4	10.85240456
5	10.78762755
6	10.7219106
7	10.66859645
8	10.61206107
9	10.56047326
10	10.50836357
11	10.4618589
12	10.41692345
13	10.37056364
14	10.32564812
15	10.28547356
16	10.24768674
17	10.21237719
18	10.17534781
19	10.13966676
20	10.10748932
21	10.06956434
22	10.03692947
23	10.00152652
24	9.967419651
25	9.941266491
26	9.911289768
27	9.886888963
28	9.86015659
29	9.831434275
30	9.806177771
31	9.7822105
32	9.76053077
33	9.738300165
34	9.719281607
35	9.703459742
36	9.685079978
37	9.66711124
38	9.653037761
39	9.634310927
40	9.620875493
41	9.605101976
42	9.586777404
43	9.569150958
44	9.550093861
45	9.534843997
46	9.523827854
47	9.511756784
48	9.496505015
49	9.478941866
50	9.465880209
51	9.455927471
52	9.439971045
53	9.4303942
54	9.418446787
55	9.405517792
56	9.392039803
57	9.379736028
58	9.362357911
59	9.350238537
60	9.339244397
61	9.323491735
62	9.31301038
63	9.304812399
64	9.294823263
65	9.287693231
66	9.277249653
67	9.26877835
68	9.261205194
69	9.253403997
70	9.247525406
71	9.238320356
72	9.22907553
73	9.224493076
74	9.212287828
75	9.206672355
76	9.195552918
77	9.189946183
78	9.184490164
79	9.175212025
80	9.168215274
81	9.158745416
82	9.153932727
83	9.148254915
84	9.138950855
85	9.127780919
86	9.123426304
87	9.116920719
88	9.107233204
89	9.100905475
90	9.095985215
91	9.091399253
92	9.08400036
93	9.078106435
94	9.074109081
95	9.067419066
96	9.063506469
97	9.060056631
98	9.056096147
99	9.053325096
100	9.050037713
101	9.045214062
102	9.041130335
103	9.038627713
104	9.03638255
105	9.032879951
106	9.027265422
107	9.019244632
108	9.0149801
109	9.010465947
110	9.004934521
111	8.999135286
112	8.996434648
113	8.994274847
114	8.98602056
115	8.983184786
116	8.981390761
117	8.978099005
118	8.974871442
119	8.973378253
120	8.968068254
121	8.964357887
122	8.961658741
123	8.956729609
124	8.95352026
125	8.948936084
126	8.94384347
127	8.940096239
128	8.939000902
129	8.935217367
130	8.932804371
131	8.930040144
132	8.926918604
133	8.921044837
134	8.917086691
135	8.915761929
136	8.911574024
137	8.909384433
138	8.907362526
139	8.906752215
140	8.90607748
141	8.904631208
142	8.900505665
143	8.893939089
144	8.892234855
145	8.889250984
146	8.885839405
147	8.884570588
148	8.88148683
149	8.880147371
150	8.876948721
151	8.874291412
152	8.872530445
153	8.87043811
154	8.869358153
155	8.867477134
156	8.865006875
157	8.862098371
158	8.859924716
159	8.858639472
160	8.856182308
161	8.855529185
162	8.850760346
163	8.846919033
164	8.844958704
165	8.842328193
166	8.840894482
167	8.837585629
168	8.835924315
169	8.8341985
170	8.832332369
171	8.829005482
172	8.825480016
173	8.823917152
174	8.822963826
175	8.821342182
176	8.82020025
177	8.816195239
178	8.810967147
179	8.808227893
180	8.801153764
181	8.798660071
182	8.797395155
183	8.79463795
184	8.793048023
185	8.78688033
186	8.780666048
187	8.779359515
188	8.778248358
189	8.775241752
190	8.774092682
191	8.770315892
192	8.76886581
193	8.764481674
194	8.763358718
195	8.762683666
196	8.75600273
197	8.754535066
198	8.751140493
199	8.750161805
200	8.747054842
201	8.746580337
202	8.745270192
203	8.742736104
204	8.740411878
205	8.738788105
206	8.737406208
207	8.736762566
208	8.734880766
209	8.728445282
210	8.727443179
211	8.725103899
212	8.724070348
213	8.722777036
214	8.716598614
215	8.712963182
216	8.712534733
217	8.71131984
218	8.709859239
219	8.706038829
220	8.704336496
221	8.703813201
222	8.698337482
223	8.695898854
224	8.692307355
225	8.690708987
226	8.690127365
227	8.687959631
228	8.686487091
229	8.6856346
230	8.680866427
231	8.679276417
232	8.678065731
233	8.677569814
234	8.670497091
235	8.669993146
236	8.668885002
237	8.661855496
238	8.660948648
239	8.658709631
240	8.655951787
241	8.655093899
242	8.654621407
243	8.653286565
244	8.651345395
245	8.648523721
246	8.645761047
247	8.644702374
248	8.643460169
249	8.636316804
250	8.633825706
251	8.633477002
252	8.630895296
253	8.627963242
254	8.626697431
255	8.625897148
256	8.62439364
257	8.623649237
258	8.622922416
259	8.621717192
260	8.620044847
261	8.618859797
262	8.616334709
263	8.615964025
264	8.614668178
265	8.613175912
266	8.611303294
267	8.610563576
268	8.609057944
269	8.606638153
270	8.601917926
271	8.599112064
272	8.598628375
273	8.595505854
274	8.593870606
275	8.586533452
276	8.581133803
277	8.579470126
278	8.578821126
279	8.572372387
280	8.569628404
281	8.568120894
282	8.564773067
283	8.56361011
284	8.562987645
285	8.560560379
286	8.558702946
287	8.558120264
288	8.555790925
289	8.554048492
290	8.550796219
291	8.547730151
292	8.547372767
293	8.545493943
294	8.543215341
295	8.541654035
296	8.536908357
297	8.530686355
298	8.529072909
299	8.526855433
