iter	Passed	Remaining
0	0	248
1	1	162
2	1	134
3	1	119
4	1	110
5	2	105
6	2	100
7	2	97
8	2	94
9	3	92
10	3	90
11	3	89
12	3	87
13	4	86
14	4	84
15	4	83
16	5	83
17	5	82
18	5	81
19	5	81
20	6	80
21	6	81
22	6	80
23	6	79
24	7	79
25	7	78
26	7	78
27	8	77
28	8	77
29	8	77
30	8	76
31	9	76
32	9	76
33	9	76
34	10	75
35	10	75
36	10	75
37	10	74
38	11	73
39	11	73
40	11	72
41	11	72
42	12	72
43	12	71
44	12	71
45	12	71
46	13	70
47	13	70
48	13	70
49	13	69
50	14	70
51	14	69
52	14	69
53	15	68
54	15	68
55	15	68
56	15	67
57	16	67
58	16	67
59	16	66
60	16	66
61	17	66
62	17	65
63	17	65
64	18	65
65	18	65
66	18	64
67	18	64
68	19	63
69	19	63
70	19	63
71	19	63
72	20	62
73	20	62
74	20	62
75	21	61
76	21	61
77	21	61
78	21	61
79	22	60
80	22	60
81	22	60
82	22	59
83	23	59
84	23	59
85	23	58
86	23	58
87	24	58
88	24	57
89	24	57
90	24	57
91	25	57
92	25	56
93	25	56
94	26	56
95	26	55
96	26	55
97	26	55
98	27	55
99	27	54
100	27	54
101	27	54
102	28	53
103	28	53
104	28	53
105	29	53
106	29	52
107	29	52
108	29	52
109	30	51
110	30	51
111	30	51
112	30	51
113	31	50
114	31	50
115	31	50
116	31	50
117	32	49
118	32	49
119	32	49
120	32	48
121	33	48
122	33	48
123	33	47
124	34	47
125	34	47
126	34	47
127	34	46
128	35	46
129	35	46
130	35	45
131	35	45
132	36	45
133	36	45
134	36	44
135	36	44
136	37	44
137	37	43
138	37	43
139	37	43
140	38	43
141	38	42
142	38	42
143	39	42
144	39	42
145	39	41
146	39	41
147	40	41
148	40	40
149	40	40
150	40	40
151	41	40
152	41	39
153	41	39
154	42	39
155	42	39
156	42	38
157	42	38
158	43	38
159	43	38
160	43	37
161	44	37
162	44	37
163	44	36
164	44	36
165	45	36
166	45	36
167	45	35
168	45	35
169	46	35
170	46	34
171	46	34
172	46	34
173	47	34
174	47	33
175	47	33
176	47	33
177	48	32
178	48	32
179	48	32
180	48	32
181	49	31
182	49	31
183	49	31
184	50	31
185	50	30
186	50	30
187	50	30
188	51	30
189	51	29
190	51	29
191	52	29
192	52	29
193	52	28
194	52	28
195	53	28
196	53	27
197	53	27
198	53	27
199	54	27
200	54	26
201	54	26
202	54	26
203	55	25
204	55	25
205	55	25
206	55	25
207	56	24
208	56	24
209	56	24
210	57	24
211	57	23
212	57	23
213	57	23
214	58	23
215	58	22
216	58	22
217	58	22
218	59	21
219	59	21
220	59	21
221	60	21
222	60	20
223	60	20
224	60	20
225	61	20
226	61	19
227	61	19
228	61	19
229	62	18
230	62	18
231	62	18
232	62	18
233	63	17
234	63	17
235	63	17
236	63	16
237	64	16
238	64	16
239	64	16
240	64	15
241	65	15
242	65	15
243	65	15
244	65	14
245	66	14
246	66	14
247	66	13
248	66	13
249	67	13
250	67	13
251	67	12
252	67	12
253	68	12
254	68	12
255	68	11
256	69	11
257	69	11
258	69	11
259	69	10
260	70	10
261	70	10
262	70	9
263	70	9
264	71	9
265	71	9
266	71	8
267	72	8
268	72	8
269	72	8
270	72	7
271	73	7
272	73	7
273	73	6
274	73	6
275	74	6
276	74	6
277	74	5
278	75	5
279	75	5
280	75	5
281	75	4
282	76	4
283	76	4
284	76	4
285	77	3
286	77	3
287	77	3
288	77	2
289	78	2
290	78	2
291	78	2
292	78	1
293	79	1
294	79	1
295	79	1
296	79	0
297	80	0
298	80	0
299	80	0
